company_name,company_address
Purchase Control,"Palmira Toljatija 62/25, Beorgad-Novi Beograd"
Endava,"Milutina Milankovica 9đ, Beograd-Novi Beograd"
Original d.o.o.,"Antifašističke Borbe 21ž, Beograd-Novi Beograd"
TomTom d.o.o.,"Vladimira Popovića 38-40, Beograd-Novi Beograd"
Telesign d.o.o.,"Trešnjinog Cveta 1, Beograd-Novi Beograd"
Veriest Venture Serbia,"Miletija Popovića 5a, Beograd - Novi Beograd"
Adacta d.o.o.,"Vladimira Popovica 38-40, Beograd (Novi Beograd)"
Predstavništvo SKS365 Group GMBH,"Španskih Boraca 3b, Beograd-Novi Beograd"
UNIQA neživotno osiguranje a.d.o.,"Milutina Milankovića 134g, Beograd-Novi Beograd"
Easy Consult HR Solution d.o.o. Beograd,"Milutina Milankovica 7G, Beograd - Novi Beograd"
Darex d.o.o.,"Autoput Beograd - Zagreb bb, 11077 Novi Beograd"
2B Logistics d.o.o.,"Partizanske Avijacije 14/1, Beograd - Novi Beograd"
Livona d.o.o.,"Bežanijskih ilegalaca 8, Novi Beograd, Srbija"
Victoria Group a.d.,"Bulevar Mihajla Pupina 1156, Beograd-Novi Beograd"
Worldwide Marketing Services d.o.o.,"Vladimira Popovića (GENEX APARTMANI) 6, Beograd-Novi Beograd"
Radijus Vektor d.o.o.,"Milentija Popovića 9, Beograd-Novi Beograd"
Siemens d.o.o.,"Omladinskih brigada 21, Beograd-Novi Beograd"
Solutis d.o.o.,"Bulevar Arsenija Čarnojevića 107, Beograd-Novi Beograd"
Piraeus Bank a.d.,"Milentija Popovića 5b, Beograd-Novi Beograd"
Poslovna inteligencija d.o.o.,"Tošin Bunar 272g, Beograd-Novi Beograd"
ProCredit Bank,"Milutina Milankovica 17, Beograd-Novi Beograd"
Beogradska berza a.d.,"Omladinskih brigada 1, 11070 Novi Beograd"
Wiener Stadtische osiguranje a.d.o.,"Trešnjinog Cveta 1, Beograd-Novi Beograd"
Sberbank Srbija a.d.,"Bulevar Mihajla Pupina 115g, Beograd-Novi Beograd"
PricewaterhouseCoopers Consulting d.o.o.,"Omladinskih brigada 88a, Beograd-Novi Beograd"
Printec d.o.o.,"Miletnija Popovića 9, Beograd-Novi Beograd"
Trenkwalder kadrovske usluge d.o.o.,"Omladinskih Brigada 86, Beograd-Novi Beograd"
Novomatic Lottery Solutions,"Japanska 3a, Novi Beograd"
Sitel SBA d.o.o. Beograd,"španskih Boraca 3, Beograd-Novi Beograd"
Štampa sistem d.o.o.,"Milutina Milankovica 19, Beograd-Novi Beograd"
Halkbank a.d. Beograd,"Bulevar Milutina Milankovića 9ž, Novi Beograd"
Bayer d.o.o.,"Omladinskih brigada 88b, Novi Beograd"
