type,microsite,url,sale,rent,datetime,agent_url
1,False,Nexa Properties Hampshire,4,0,2020-01-29 21:45:10.407589,https://www.rightmove.co.uk/overseas-property/estate-agents/Nexa-Properties/Hampshire-219644.html
1,False,Barnes Costa del Sol SL Marbella,0,0,2020-01-29 21:45:10.483387,https://www.rightmove.co.uk/overseas-property/estate-agents/Barnes-Costa-del-Sol-SL/Marbella-219656.html
1,False,ADJ House Specialists San Javier,8,0,2020-01-29 21:45:10.514304,https://www.rightmove.co.uk/overseas-property/estate-agents/ADJ-House-Specialists/San-Javier-219653.html
1,False,Private Seller Edoardo Cavallo,1,0,2020-01-29 21:45:10.594091,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Edoardo-Cavallo-219641.html
0,True,White & Brooks Chichester,24,0,2020-01-29 21:45:10.676869,https://www.rightmove.co.uk/estate-agents/agent/White-and-Brooks/Chichester-219662.html
1,False,Real Casa Italy Rome,14,0,2020-01-29 21:45:10.760646,https://www.rightmove.co.uk/overseas-property/estate-agents/Real-Casa-Italy/Rome-219665.html
2,False,Car Care Preston Preston,0,1,2020-01-29 21:45:10.904261,https://www.rightmove.co.uk/estate-agents/agent/Car-Care-Preston/Preston-219593.html
0,False,HomeHappy West Malling,0,8,2020-01-29 21:45:10.966096,https://www.rightmove.co.uk/estate-agents/agent/HomeHappy/West-Malling-219563.html
1,False,Private Seller Robin Griggs,1,0,2020-01-29 21:45:11.011974,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Robin-Griggs-219596.html
1,False,Nexa Properties Hampshire,4,0,2020-01-29 21:45:11.036907,https://www.rightmove.co.uk/overseas-property/estate-agents/Nexa-Properties/Hampshire-219644.html
0,True,Ullyotts Driffield Lettings,0,8,2020-01-29 21:45:11.064833,https://www.rightmove.co.uk/estate-agents/agent/Ullyotts/Driffield-Lettings-219623.html
1,False,Pennickblackwell Property La Nucia,33,0,2020-01-29 21:45:11.405935,https://www.rightmove.co.uk/overseas-property/estate-agents/Pennickblackwell-Property/La-Nucia-219557.html
1,False,Engel & Völkers Benidorm Benidorm,87,0,2020-01-29 21:45:11.442837,https://www.rightmove.co.uk/overseas-property/estate-agents/Engel-and-Vlkers-Benidorm/Benidorm-219560.html
1,False,PREMIUM GROUP Kefalonia,17,0,2020-01-29 21:45:11.707149,https://www.rightmove.co.uk/overseas-property/estate-agents/PREMIUM-GROUP/Kefalonia-219542.html
1,False,Private Seller Mr & Mrs Naess,1,0,2020-01-29 21:45:11.922573,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Mr-and-Mrs-Naess-219533.html
1,False,Private Seller Michael Dando,1,0,2020-01-29 21:45:11.963468,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Michael-Dando-219536.html
0,False,Carter Jonas Rural Taunton Leisure,47,0,2020-01-29 21:45:12.107080,https://www.rightmove.co.uk/estate-agents/agent/Carter-Jonas-Rural/Taunton-Leisure-219554.html
1,False,Private Seller Gerard O'Sullivan,1,0,2020-01-29 21:45:12.248702,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Gerard-OSullivan-219530.html
1,False,Private Seller Joseph Vettese,1,0,2020-01-29 21:45:12.281614,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Joseph-Vettese-219521.html
1,False,YOUR MOVE SPAIN Murcia,295,0,2020-01-29 21:45:12.355417,https://www.rightmove.co.uk/overseas-property/estate-agents/YOUR-MOVE-SPAIN/Murcia-219515.html
0,False,Z O Properties London,0,19,2020-01-29 21:45:12.429219,https://www.rightmove.co.uk/estate-agents/agent/Z-O-Properties/London-219524.html
1,False,Sea View Real Estate and Investments SL Malaga,10,0,2020-01-29 21:45:12.657624,https://www.rightmove.co.uk/overseas-property/estate-agents/Sea-View-Real-Estate-and-Investments-SL/Malaga-219512.html
1,False,Private Seller Carol & Larry Kenny,1,0,2020-01-29 21:45:12.798248,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Carol-and-Larry-Kenny-219488.html
0,False,Northwood Nottingham lettings,0,5,2020-01-29 21:45:12.826173,https://www.rightmove.co.uk/estate-agents/agent/Northwood/Nottingham-lettings-219494.html
0,True,Balgores Loughton - Lettings,0,3,2020-01-29 21:45:13.413618,https://www.rightmove.co.uk/estate-agents/agent/Balgores/Loughton---Lettings-219440.html
1,False,Sherry FitzGerald Brennan Busteed Bandon,16,0,2020-01-29 21:45:13.677911,https://www.rightmove.co.uk/overseas-property/estate-agents/Sherry-FitzGerald-Brennan-Busteed/Bandon-Cork-219431.html
0,False,Lime Auction House London,1,0,2020-01-29 21:45:13.707831,https://www.rightmove.co.uk/estate-agents/agent/Lime-Auction-House/London-219428.html
1,False,Private Seller Barry Moore,1,0,2020-01-29 21:45:13.840476,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Barry-Moore-219416.html
1,False,Private Seller Yordan Cenov,1,0,2020-01-29 21:45:13.915276,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Yordan-Cenov-219413.html
1,False,Private Seller Sally Embleton,1,0,2020-01-29 21:45:14.111752,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Sally-Embleton-219410.html
2,False,Gabriel's Angels Management Ltd Wokingham,0,1,2020-01-29 21:45:14.338166,https://www.rightmove.co.uk/estate-agents/agent/Gabriels-Angels-Management-Ltd/Wokingham-219383.html
2,False,My Lockup Limited Darlington,0,0,2020-01-29 21:45:14.522673,https://www.rightmove.co.uk/estate-agents/agent/My-Lockup-Limited/Darlington-219419.html
0,False,TLC Yorkshire Properties LTD Harrogate,5,0,2020-01-29 21:45:14.896672,https://www.rightmove.co.uk/estate-agents/agent/TLC-Yorkshire-Properties-LTD/Harrogate-219392.html
1,False,Barnes International Barnes Valbonne,1,0,2020-01-29 21:45:14.966487,https://www.rightmove.co.uk/overseas-property/estate-agents/Barnes-International/Barnes-Valbonne-219341.html
1,False,Made In Paris Paris,2,0,2020-01-29 21:45:15.149996,https://www.rightmove.co.uk/overseas-property/estate-agents/Made-In-Paris/Paris-219347.html
1,False,Capifrance Capifrance (sandrine Bourdier),4,0,2020-01-29 21:45:15.218812,https://www.rightmove.co.uk/overseas-property/estate-agents/Capifrance/Capifrance-sandrine-Bourdier-219332.html
2,False,The Gashouse Co Essex,0,1,2020-01-29 21:45:15.297601,https://www.rightmove.co.uk/estate-agents/agent/The-Gashouse-Co/Essex-219386.html
0,False,Andrew Downing-Booth Estate Agents Lichfield,1,0,2020-01-29 21:45:15.353451,https://www.rightmove.co.uk/estate-agents/agent/Andrew-Downing-Booth-Estate-Agents/Lichfield-219329.html
0,False,DeTrafford Lettings Wilmslow,0,9,2020-01-29 21:45:15.386364,https://www.rightmove.co.uk/estate-agents/agent/DeTrafford-Lettings/Wilmslow-219335.html
1,False,Private Seller Michael Barnes,1,0,2020-01-29 21:45:15.681574,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Michael-Barnes-219425.html
1,False,Valbonne Properties Valbonne,50,0,2020-01-29 21:45:15.723463,https://www.rightmove.co.uk/overseas-property/estate-agents/Valbonne-Properties/Valbonne-219338.html
0,False,Almond Property Hornchurch,0,1,2020-01-29 21:45:15.930909,https://www.rightmove.co.uk/estate-agents/agent/Almond-Property/Hornchurch-219344.html
0,False,Storeys London,1,0,2020-01-29 21:45:16.115415,https://www.rightmove.co.uk/estate-agents/agent/Storeys/London-219299.html
1,False,Plusvillas Home Design S.L. Calpe,0,0,2020-01-29 21:45:16.207170,https://www.rightmove.co.uk/overseas-property/estate-agents/Plusvillas-Home-Design-SL/Calpe-219284.html
0,False,Property Net Bradford LTD Bradford,8,0,2020-01-29 21:45:16.439549,https://www.rightmove.co.uk/estate-agents/agent/Property-Net-Bradford-LTD/Bradford-219320.html
0,False,Lovett Estate & Lettings Agents Bournemouth,0,102,2020-01-29 21:45:16.764679,https://www.rightmove.co.uk/estate-agents/agent/Lovett-Estate-and-Lettings-Agents/Bournemouth-219257.html
2,False,Griffin Land Agency and Consultancy Ltd Staffordshire,1,0,2020-01-29 21:45:16.798589,https://www.rightmove.co.uk/estate-agents/agent/Griffin-Land-Agency-and-Consultancy-Ltd/Staffordshire-219314.html
0,False,Regents Residential Limited London,1,0,2020-01-29 21:45:16.852445,https://www.rightmove.co.uk/estate-agents/agent/Regents-Residential-Limited/London-219260.html
2,False,CP Brasseries Limited London,0,1,2020-01-29 21:45:17.163613,https://www.rightmove.co.uk/estate-agents/agent/CP-Brasseries-Limited/London-219293.html
0,False,Ulrich Katusevanako Kegworth,1,0,2020-01-29 21:45:17.197523,https://www.rightmove.co.uk/estate-agents/agent/Ulrich-Katusevanako/Kegworth-219278.html
1,False,Hello Spain Properties Fuengirola,97,0,2020-01-29 21:45:17.638344,https://www.rightmove.co.uk/overseas-property/estate-agents/Hello-Spain-Properties/Fuengirola-219224.html
2,False,Gray Point Commercial Property Consultants Twickenham,1,1,2020-01-29 21:45:17.712147,https://www.rightmove.co.uk/estate-agents/agent/Gray-Point-Commercial-Property-Consultants/Twickenham-219251.html
2,False,Port Hall Estates Brighton,4,0,2020-01-29 21:45:17.813875,https://www.rightmove.co.uk/estate-agents/agent/Port-Hall-Estates/Brighton-219281.html
0,False,Town & Country - Auctions Bournemouth,39,0,2020-01-29 21:45:17.886681,https://www.rightmove.co.uk/estate-agents/agent/Town-and-Country---Auctions/Bournemouth-219272.html
1,False,Bulgaria Direct Veliko Tarnovo,5,0,2020-01-29 21:45:17.932558,https://www.rightmove.co.uk/overseas-property/estate-agents/Bulgaria-Direct/Veliko-Tarnovo-219200.html
0,True,A Wilson Estates Stalybridge - Lettings,0,11,2020-01-29 21:45:17.987412,https://www.rightmove.co.uk/estate-agents/agent/A-Wilson-Estates/Stalybridge---Lettings-219296.html
0,False,RM Team Lettings Place,0,1,2020-01-29 21:45:18.162942,https://www.rightmove.co.uk/estate-agents/agent/RM-Team/Lettings-Place-219197.html
2,False,Priestley & Co Ltd Leeds,0,5,2020-01-29 21:45:18.232755,https://www.rightmove.co.uk/estate-agents/agent/Priestley-and-Co-Ltd/Leeds-219221.html
0,False,Accent Resale,2,0,2020-01-29 21:45:18.453166,https://www.rightmove.co.uk/estate-agents/agent/Accent/Resale-219134.html
0,False,Student Luxe London,0,23,2020-01-29 21:45:18.605758,https://www.rightmove.co.uk/estate-agents/agent/Student-Luxe/London-219122.html
1,False,Private Seller Geoffrey Brown,1,0,2020-01-29 21:45:18.676569,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Geoffrey-Brown-219116.html
1,False,Private Seller Tony Swales,1,0,2020-01-29 21:45:18.712473,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Tony-Swales-219113.html
1,False,Private Seller Colin Hardwick,1,0,2020-01-29 21:45:18.920916,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Colin-Hardwick-219095.html
2,False,786 Properties Tamworth,1,0,2020-01-29 21:45:18.958814,https://www.rightmove.co.uk/estate-agents/agent/786-Properties/Tamworth-219158.html
0,False,IBSA Property London,1,0,2020-01-29 21:45:19.063534,https://www.rightmove.co.uk/estate-agents/agent/IBSA-Property/London-219089.html
1,False,Farrell Property Group Carrick on Shannon,0,0,2020-01-29 21:45:19.224106,https://www.rightmove.co.uk/overseas-property/estate-agents/Farrell-Property-Group/Carrick-on-Shannon-219092.html
1,False,Private Seller Bjorg Vassiliades,1,0,2020-01-29 21:45:19.322842,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Bjorg-Vassiliades-219071.html
0,False,CENTURY 21 LEICESTER Leicester,2,3,2020-01-29 21:45:19.352762,https://www.rightmove.co.uk/estate-agents/agent/CENTURY-21-LEICESTER/Leicester-219185.html
1,False,Private Seller Cedo Mikic,1,0,2020-01-29 21:45:19.496378,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Cedo-Mikic-219062.html
1,False,Private Seller Brian Mawtus,1,0,2020-01-29 21:45:19.597108,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Brian-Mawtus-219083.html
0,True,Foxtons Auction Covering London,13,0,2020-01-29 21:45:19.651961,https://www.rightmove.co.uk/estate-agents/agent/Foxtons-Auction/Covering-London-219074.html
0,False,Fusion Students Zenith,0,8,2020-01-29 21:45:19.790591,https://www.rightmove.co.uk/estate-agents/agent/Fusion-Students/Zenith-219059.html
0,False,Fusion Students Luna,0,4,2020-01-29 21:45:19.873370,https://www.rightmove.co.uk/estate-agents/agent/Fusion-Students/Luna-219056.html
1,False,Visit Cape Verde Santa Maria,4,0,2020-01-29 21:45:19.969114,https://www.rightmove.co.uk/overseas-property/estate-agents/Visit-Cape-Verde/Santa-Maria-219044.html
